before AV control,after AV control
2.565508522966022,1.1474236716608448
2.395542493960927,1.158299679508854
2.3870252074176315,1.2501404771660134
2.36073260977829,1.2547553145433687
2.3707277896897456,1.264559321143606
2.506605376269087,1.256335554521904
2.389309797131406,1.2260414214868491
2.5566524849206087,1.0945469106761219
2.5707414287781694,1.0983068635063593
3.185925735823613,1.0865177181511327
2.5816974159690256,1.0900772567091126
2.55913691331732,1.0780463268069769
2.6309493217576008,1.0810781779634717
2.636486961578012,1.0963322879085744
2.6541784482691133,1.1024844989803009
2.663671810068268,1.1041644481319919
2.650916957069496,1.1180726841950104
2.631769871744287,1.1159955363599372
3.111250874313608,1.1363322344572595
2.397248537056338,1.130007206211657
2.4114318009938076,1.1645850906981738
2.3767534970723005,1.154121579344794
2.412432172273822,1.1825201880671161
